DAY,HOUR,EXPORT_PRICE(R$/MWh),IMPORT_PRICE(R$/MWh)
04/01/19, 17, 182.2036, 185.44
04/01/19, 18, 183.8218, 185.44
04/01/19, 19, 181.6294, 185.44
04/01/19, 20, 182.7778, 185.44
04/01/19, 21, 181.7338, 185.44
04/01/19, 22, 182.8822, 185.44
04/01/19, 23, 183.613, 185.44
05/01/19, 0, 175.8979, 177.34
05/01/19, 1, 176.5557, 177.34
05/01/19, 2, 176.3027, 177.34
05/01/19, 3, 176.5051, 177.34
05/01/19, 4, 175.5437, 177.34
05/01/19, 5, 176.1509, 177.34
05/01/19, 6, 176.2521, 177.34
05/01/19, 7, 176.3027, 177.34
05/01/19, 8, 176.328, 177.34
05/01/19, 9, 175.4425, 177.34
05/01/19, 10, 175.7967, 177.34
05/01/19, 11, 176.1003, 177.34
05/01/19, 12, 175.7967, 177.34
05/01/19, 13, 176.0244, 177.34
05/01/19, 14, 176.3027, 177.34
05/01/19, 15, 176.4292, 177.34
05/01/19, 16, 175.4678, 177.34
05/01/19, 17, 176.581, 177.34
05/01/19, 18, 175.569, 177.34
05/01/19, 19, 176.2521, 177.34
05/01/19, 20, 175.6702, 177.34
05/01/19, 21, 175.5184, 177.34
05/01/19, 22, 176.0244, 177.34
05/01/19, 23, 176.581, 177.34
06/01/19, 0, 167.971, 177.54
06/01/19, 1, 172.3454, 177.54
06/01/19, 2, 173.8491, 177.54
06/01/19, 3, 169.4747, 177.54
06/01/19, 4, 170.1582, 177.54
06/01/19, 5, 169.7481, 177.54
06/01/19, 6, 171.7986, 177.54
06/01/19, 7, 167.971, 177.54
06/01/19, 8, 169.8848, 177.54
06/01/19, 9, 171.1151, 177.54
06/01/19, 10, 173.5757, 177.54
06/01/19, 11, 170.705, 177.54
06/01/19, 12, 170.705, 177.54
06/01/19, 13, 172.3454, 177.54
06/01/19, 14, 171.9353, 177.54
06/01/19, 15, 173.3023, 177.54
06/01/19, 16, 171.7986, 177.54
06/01/19, 17, 169.7481, 177.54
06/01/19, 18, 168.9279, 177.54
06/01/19, 19, 171.2518, 177.54
06/01/19, 20, 169.7481, 177.54
06/01/19, 21, 168.3811, 177.54
06/01/19, 22, 170.0215, 177.54
06/01/19, 23, 169.0646, 177.54
07/01/19, 0, 186.3364, 189.94
07/01/19, 1, 182.9512, 189.94
07/01/19, 2, 182.5144, 189.94
07/01/19, 3, 186.4456, 189.94
07/01/19, 4, 182.842, 189.94
07/01/19, 5, 186.2272, 189.94
07/01/19, 6, 183.6064, 189.94
07/01/19, 7, 182.4052, 189.94
07/01/19, 8, 183.7156, 189.94
07/01/19, 9, 184.3708, 189.94
07/01/19, 10, 181.9684, 189.94
07/01/19, 11, 182.4052, 189.94
07/01/19, 12, 183.934, 189.94
07/01/19, 13, 183.2788, 189.94
07/01/19, 14, 182.9512, 189.94
07/01/19, 15, 187.21, 189.94
07/01/19, 16, 186.7732, 189.94
07/01/19, 17, 182.9512, 189.94
07/01/19, 18, 185.7904, 189.94
07/01/19, 19, 183.7156, 189.94
07/01/19, 20, 181.75, 189.94
07/01/19, 21, 186.8824, 189.94
07/01/19, 22, 185.8996, 189.94
07/01/19, 23, 181.75, 189.94
08/01/19, 0, 183.695, 189.23
08/01/19, 1, 186.0525, 189.23
08/01/19, 2, 181.9525, 189.23
08/01/19, 3, 181.9525, 189.23
08/01/19, 4, 183.08, 189.23
08/01/19, 5, 185.4375, 189.23
08/01/19, 6, 181.85, 189.23
08/01/19, 7, 183.08, 189.23
08/01/19, 8, 185.6425, 189.23
08/01/19, 9, 185.0275, 189.23
08/01/19, 10, 186.155, 189.23
08/01/19, 11, 184.925, 189.23
08/01/19, 12, 185.745, 189.23
08/01/19, 13, 183.5925, 189.23
08/01/19, 14, 184.6175, 189.23
08/01/19, 15, 186.2575, 189.23
08/01/19, 16, 184.925, 189.23
08/01/19, 17, 185.0275, 189.23
08/01/19, 18, 184.4125, 189.23
08/01/19, 19, 184.6175, 189.23
08/01/19, 20, 184.6175, 189.23
08/01/19, 21, 185.335, 189.23
08/01/19, 22, 185.54, 189.23
08/01/19, 23, 183.5925, 189.23
09/01/19, 0, 182.8812, 188.28
09/01/19, 1, 183.6174, 188.28
09/01/19, 2, 183.0039, 188.28
09/01/19, 3, 179.8137, 188.28
09/01/19, 4, 179.5683, 188.28
09/01/19, 5, 184.4763, 188.28
09/01/19, 6, 181.1634, 188.28
09/01/19, 7, 183.7401, 188.28
09/01/19, 8, 179.0775, 188.28
09/01/19, 9, 182.145, 188.28
09/01/19, 10, 184.8444, 188.28
09/01/19, 11, 181.5315, 188.28
09/01/19, 12, 181.2861, 188.28
09/01/19, 13, 184.3536, 188.28
09/01/19, 14, 179.0775, 188.28
09/01/19, 15, 179.2002, 188.28
09/01/19, 16, 181.1634, 188.28
09/01/19, 17, 184.3536, 188.28
09/01/19, 18, 180.6726, 188.28
09/01/19, 19, 183.4947, 188.28
09/01/19, 20, 181.7769, 188.28
09/01/19, 21, 185.0898, 188.28
09/01/19, 22, 184.1082, 188.28
09/01/19, 23, 184.9671, 188.28
10/01/19, 0, 183.8024, 187.56
10/01/19, 1, 185.425, 187.56
10/01/19, 2, 181.4966, 187.56
10/01/19, 3, 183.9732, 187.56
10/01/19, 4, 184.8272, 187.56
10/01/19, 5, 183.6316, 187.56
10/01/19, 6, 183.4608, 187.56
10/01/19, 7, 183.29, 187.56
10/01/19, 8, 182.5214, 187.56
10/01/19, 9, 183.6316, 187.56
10/01/19, 10, 182.7776, 187.56
10/01/19, 11, 183.4608, 187.56
10/01/19, 12, 184.0586, 187.56
10/01/19, 13, 181.4112, 187.56
10/01/19, 14, 182.1798, 187.56
10/01/19, 15, 183.6316, 187.56
10/01/19, 16, 182.009, 187.56
10/01/19, 17, 182.7776, 187.56
10/01/19, 18, 181.8382, 187.56
10/01/19, 19, 183.0338, 187.56
10/01/19, 20, 182.863, 187.56
10/01/19, 21, 184.9126, 187.56
10/01/19, 22, 183.29, 187.56
10/01/19, 23, 183.8878, 187.56
11/01/19, 0, 183.666, 187.14
11/01/19, 1, 180.192, 187.14
11/01/19, 2, 181.543, 187.14
11/01/19, 3, 181.4465, 187.14
11/01/19, 4, 180.385, 187.14
11/01/19, 5, 182.4115, 187.14
11/01/19, 6, 183.9555, 187.14
11/01/19, 7, 183.3765, 187.14
11/01/19, 8, 181.8325, 187.14
11/01/19, 9, 183.859, 187.14
11/01/19, 10, 180.6745, 187.14
11/01/19, 11, 181.4465, 187.14
11/01/19, 12, 180.8675, 187.14
11/01/19, 13, 182.315, 187.14
11/01/19, 14, 181.736, 187.14
11/01/19, 15, 179.9025, 187.14
11/01/19, 16, 183.087, 187.14
11/01/19, 17, 184.052, 187.14
11/01/19, 18, 182.315, 187.14
11/01/19, 19, 184.5345, 187.14
11/01/19, 20, 184.5345, 187.14
11/01/19, 21, 181.929, 187.14
11/01/19, 22, 181.736, 187.14
11/01/19, 23, 182.9905, 187.14
12/01/19, 0, 230.5688, 232.1
12/01/19, 1, 229.7713, 232.1
12/01/19, 2, 230.0584, 232.1
12/01/19, 3, 230.9835, 232.1
12/01/19, 4, 231.143, 232.1
12/01/19, 5, 230.505, 232.1
12/01/19, 6, 230.3774, 232.1
12/01/19, 7, 230.3774, 232.1
12/01/19, 8, 230.2498, 232.1
12/01/19, 9, 230.7602, 232.1
12/01/19, 10, 230.6326, 232.1
12/01/19, 11, 230.8559, 232.1
12/01/19, 12, 230.7921, 232.1
12/01/19, 13, 230.5369, 232.1
12/01/19, 14, 229.8032, 232.1
12/01/19, 15, 230.505, 232.1
12/01/19, 16, 231.1749, 232.1
12/01/19, 17, 231.1111, 232.1
12/01/19, 18, 230.9197, 232.1
12/01/19, 19, 230.6007, 232.1
12/01/19, 20, 230.7602, 232.1
12/01/19, 21, 230.6007, 232.1
12/01/19, 22, 230.6964, 232.1
12/01/19, 23, 230.6964, 232.1
13/01/19, 0, 231.4209, 236.44
13/01/19, 1, 230.1898, 236.44
13/01/19, 2, 233.1255, 236.44
13/01/19, 3, 230.0004, 236.44
13/01/19, 4, 230.3792, 236.44
13/01/19, 5, 234.0725, 236.44
13/01/19, 6, 231.0421, 236.44
13/01/19, 7, 234.0725, 236.44
13/01/19, 8, 233.5043, 236.44
13/01/19, 9, 231.6103, 236.44
13/01/19, 10, 229.811, 236.44
13/01/19, 11, 233.5043, 236.44
13/01/19, 12, 230.5686, 236.44
13/01/19, 13, 232.2732, 236.44
13/01/19, 14, 233.6937, 236.44
13/01/19, 15, 230.1898, 236.44
13/01/19, 16, 230.5686, 236.44
13/01/19, 17, 230.6633, 236.44
13/01/19, 18, 231.5156, 236.44
13/01/19, 19, 230.1898, 236.44
13/01/19, 20, 232.3679, 236.44
13/01/19, 21, 231.4209, 236.44
13/01/19, 22, 231.0421, 236.44
13/01/19, 23, 233.2202, 236.44
14/01/19, 0, 242.0964, 246.75
14/01/19, 1, 242.4288, 246.75
14/01/19, 2, 237.2766, 246.75
14/01/19, 3, 238.2738, 246.75
14/01/19, 4, 237.609, 246.75
14/01/19, 5, 235.7808, 246.75
14/01/19, 6, 239.7696, 246.75
14/01/19, 7, 238.7724, 246.75
14/01/19, 8, 235.6146, 246.75
14/01/19, 9, 235.947, 246.75
14/01/19, 10, 239.9358, 246.75
14/01/19, 11, 240.2682, 246.75
14/01/19, 12, 234.7836, 246.75
14/01/19, 13, 240.933, 246.75
14/01/19, 14, 240.7668, 246.75
14/01/19, 15, 235.6146, 246.75
14/01/19, 16, 235.947, 246.75
14/01/19, 17, 237.609, 246.75
14/01/19, 18, 234.285, 246.75
14/01/19, 19, 242.0964, 246.75
14/01/19, 20, 236.4456, 246.75
14/01/19, 21, 241.9302, 246.75
14/01/19, 22, 236.2794, 246.75
14/01/19, 23, 240.2682, 246.75
15/01/19, 0, 245.2644, 251.1
15/01/19, 1, 246.0749, 251.1
15/01/19, 2, 242.5087, 251.1
15/01/19, 3, 240.0772, 251.1
15/01/19, 4, 240.0772, 251.1
15/01/19, 5, 245.7507, 251.1
15/01/19, 6, 242.1845, 251.1
15/01/19, 7, 240.0772, 251.1
15/01/19, 8, 241.2119, 251.1
15/01/19, 9, 241.8603, 251.1
15/01/19, 10, 242.6708, 251.1
15/01/19, 11, 244.9402, 251.1
15/01/19, 12, 242.1845, 251.1
15/01/19, 13, 242.0224, 251.1
15/01/19, 14, 241.6982, 251.1
15/01/19, 15, 245.9128, 251.1
15/01/19, 16, 244.2918, 251.1
15/01/19, 17, 246.3991, 251.1
15/01/19, 18, 244.1297, 251.1
15/01/19, 19, 239.753, 251.1
15/01/19, 20, 245.4265, 251.1
15/01/19, 21, 244.616, 251.1
15/01/19, 22, 247.0475, 251.1
15/01/19, 23, 239.4288, 251.1
16/01/19, 0, 239.6125, 255.49
16/01/19, 1, 248.965, 255.49
16/01/19, 2, 239.395, 255.49
16/01/19, 3, 244.18, 255.49
16/01/19, 4, 249.6175, 255.49
16/01/19, 5, 246.79, 255.49
16/01/19, 6, 245.485, 255.49
16/01/19, 7, 247.225, 255.49
16/01/19, 8, 248.7475, 255.49
16/01/19, 9, 247.225, 255.49
16/01/19, 10, 248.965, 255.49
16/01/19, 11, 247.225, 255.49
16/01/19, 12, 245.92, 255.49
16/01/19, 13, 244.8325, 255.49
16/01/19, 14, 242.44, 255.49
16/01/19, 15, 246.79, 255.49
16/01/19, 16, 243.0925, 255.49
16/01/19, 17, 239.395, 255.49
16/01/19, 18, 239.6125, 255.49
16/01/19, 19, 240.4825, 255.49
16/01/19, 20, 247.8775, 255.49
16/01/19, 21, 242.005, 255.49
16/01/19, 22, 247.66, 255.49
16/01/19, 23, 243.0925, 255.49
17/01/19, 0, 239.663, 254.23
17/01/19, 1, 242.5764, 254.23
17/01/19, 2, 248.1951, 254.23
17/01/19, 3, 241.1197, 254.23
17/01/19, 4, 240.4954, 254.23
17/01/19, 5, 249.0275, 254.23
17/01/19, 6, 240.9116, 254.23
17/01/19, 7, 239.2468, 254.23
17/01/19, 8, 239.4549, 254.23
17/01/19, 9, 241.744, 254.23
17/01/19, 10, 242.9926, 254.23
17/01/19, 11, 244.0331, 254.23
17/01/19, 12, 244.0331, 254.23
17/01/19, 13, 246.5303, 254.23
17/01/19, 14, 244.0331, 254.23
17/01/19, 15, 243.4088, 254.23
17/01/19, 16, 239.0387, 254.23
17/01/19, 17, 247.3627, 254.23
17/01/19, 18, 239.8711, 254.23
17/01/19, 19, 247.7789, 254.23
17/01/19, 20, 248.1951, 254.23
17/01/19, 21, 242.1602, 254.23
17/01/19, 22, 246.1141, 254.23
17/01/19, 23, 241.744, 254.23
18/01/19, 0, 243.8332, 249.59
18/01/19, 1, 244.9126, 249.59
18/01/19, 2, 238.0764, 249.59
18/01/19, 3, 243.4734, 249.59
18/01/19, 4, 239.3357, 249.59
18/01/19, 5, 239.8754, 249.59
18/01/19, 6, 236.2774, 249.59
18/01/19, 7, 242.5739, 249.59
18/01/19, 8, 239.5156, 249.59
18/01/19, 9, 244.9126, 249.59
18/01/19, 10, 243.4734, 249.59
18/01/19, 11, 243.1136, 249.59
18/01/19, 12, 243.1136, 249.59
18/01/19, 13, 241.1347, 249.59
18/01/19, 14, 240.595, 249.59
18/01/19, 15, 239.1558, 249.59
18/01/19, 16, 243.6533, 249.59
18/01/19, 17, 245.0925, 249.59
18/01/19, 18, 243.4734, 249.59
18/01/19, 19, 239.8754, 249.59
18/01/19, 20, 245.0925, 249.59
18/01/19, 21, 236.0975, 249.59
18/01/19, 22, 236.0975, 249.59
18/01/19, 23, 244.0131, 249.59
19/01/19, 0, 263.7275, 265.52
19/01/19, 1, 263.9187, 265.52
19/01/19, 2, 264.5162, 265.52
19/01/19, 3, 264.3011, 265.52
19/01/19, 4, 264.2533, 265.52
19/01/19, 5, 264.7791, 265.52
19/01/19, 6, 263.9426, 265.52
19/01/19, 7, 264.1338, 265.52
19/01/19, 8, 264.2055, 265.52
19/01/19, 9, 264.3728, 265.52
19/01/19, 10, 264.0621, 265.52
19/01/19, 11, 264.1099, 265.52
19/01/19, 12, 264.2533, 265.52
19/01/19, 13, 264.6118, 265.52
19/01/19, 14, 264.2294, 265.52
19/01/19, 15, 264.8269, 265.52
19/01/19, 16, 264.4445, 265.52
19/01/19, 17, 264.0143, 265.52
19/01/19, 18, 264.0382, 265.52
19/01/19, 19, 264.4445, 265.52
19/01/19, 20, 264.803, 265.52
19/01/19, 21, 264.4923, 265.52
19/01/19, 22, 263.9665, 265.52
19/01/19, 23, 264.0621, 265.52
20/01/19, 0, 262.7787, 270.21
20/01/19, 1, 265.2558, 270.21
20/01/19, 2, 263.6403, 270.21
20/01/19, 3, 265.6866, 270.21
20/01/19, 4, 265.6866, 270.21
20/01/19, 5, 262.4556, 270.21
20/01/19, 6, 264.2865, 270.21
20/01/19, 7, 263.8557, 270.21
20/01/19, 8, 263.4249, 270.21
20/01/19, 9, 263.2095, 270.21
20/01/19, 10, 264.5019, 270.21
20/01/19, 11, 262.4556, 270.21
20/01/19, 12, 262.671, 270.21
20/01/19, 13, 267.3021, 270.21
20/01/19, 14, 267.5175, 270.21
20/01/19, 15, 262.8864, 270.21
20/01/19, 16, 266.1174, 270.21
20/01/19, 17, 263.6403, 270.21
20/01/19, 18, 265.902, 270.21
20/01/19, 19, 264.7173, 270.21
20/01/19, 20, 265.5789, 270.21
20/01/19, 21, 263.8557, 270.21
20/01/19, 22, 262.4556, 270.21
20/01/19, 23, 264.3942, 270.21
21/01/19, 0, 267.9148, 271.65
21/01/19, 1, 267.7814, 271.65
21/01/19, 2, 267.8481, 271.65
21/01/19, 3, 268.9153, 271.65
21/01/19, 4, 268.2483, 271.65
21/01/19, 5, 269.5156, 271.65
21/01/19, 6, 267.3812, 271.65
21/01/19, 7, 268.315, 271.65
21/01/19, 8, 267.4479, 271.65
21/01/19, 9, 269.3822, 271.65
21/01/19, 10, 267.1144, 271.65
21/01/19, 11, 269.4489, 271.65
21/01/19, 12, 267.9148, 271.65
21/01/19, 13, 269.7157, 271.65
21/01/19, 14, 268.5818, 271.65
21/01/19, 15, 267.4479, 271.65
21/01/19, 16, 266.8476, 271.65
21/01/19, 17, 268.3817, 271.65
21/01/19, 18, 267.8481, 271.65
21/01/19, 19, 268.5818, 271.65
21/01/19, 20, 269.5156, 271.65
21/01/19, 21, 267.3145, 271.65
21/01/19, 22, 269.7824, 271.65
21/01/19, 23, 269.8491, 271.65
22/01/19, 0, 282.7203, 288.69
22/01/19, 1, 278.5194, 288.69
22/01/19, 2, 278.7405, 288.69
22/01/19, 3, 272.3286, 288.69
22/01/19, 4, 281.6148, 288.69
22/01/19, 5, 281.8359, 288.69
22/01/19, 6, 279.846, 288.69
22/01/19, 7, 277.8561, 288.69
22/01/19, 8, 276.5295, 288.69
22/01/19, 9, 272.1075, 288.69
22/01/19, 10, 278.2983, 288.69
22/01/19, 11, 274.7607, 288.69
22/01/19, 12, 281.1726, 288.69
22/01/19, 13, 278.0772, 288.69
22/01/19, 14, 279.6249, 288.69
22/01/19, 15, 273.213, 288.69
22/01/19, 16, 279.4038, 288.69
22/01/19, 17, 279.6249, 288.69
22/01/19, 18, 276.0873, 288.69
22/01/19, 19, 280.5093, 288.69
22/01/19, 20, 274.7607, 288.69
22/01/19, 21, 274.9818, 288.69
22/01/19, 22, 276.7506, 288.69
22/01/19, 23, 277.4139, 288.69
23/01/19, 0, 284.286, 303.8
23/01/19, 1, 279.3188, 303.8
23/01/19, 2, 282.1572, 303.8
23/01/19, 3, 281.8024, 303.8
23/01/19, 4, 289.9628, 303.8
23/01/19, 5, 280.738, 303.8
23/01/19, 6, 294.5752, 303.8
23/01/19, 7, 288.8984, 303.8
23/01/19, 8, 278.964, 303.8
23/01/19, 9, 277.8996, 303.8
23/01/19, 10, 282.512, 303.8
23/01/19, 11, 291.382, 303.8
23/01/19, 12, 277.19, 303.8
23/01/19, 13, 287.1244, 303.8
23/01/19, 14, 287.834, 303.8
23/01/19, 15, 288.8984, 303.8
23/01/19, 16, 283.2216, 303.8
23/01/19, 17, 293.8656, 303.8
23/01/19, 18, 286.4148, 303.8
23/01/19, 19, 281.4476, 303.8
23/01/19, 20, 288.5436, 303.8
23/01/19, 21, 280.0284, 303.8
23/01/19, 22, 293.5108, 303.8
23/01/19, 23, 287.834, 303.8
24/01/19, 0, 300.0586, 313.3
24/01/19, 1, 285.904, 313.3
24/01/19, 2, 286.3606, 313.3
24/01/19, 3, 293.2096, 313.3
24/01/19, 4, 290.47, 313.3
24/01/19, 5, 280.8814, 313.3
24/01/19, 6, 300.0586, 313.3
24/01/19, 7, 296.8624, 313.3
24/01/19, 8, 291.8398, 313.3
24/01/19, 9, 292.753, 313.3
24/01/19, 10, 282.7078, 313.3
24/01/19, 11, 291.3832, 313.3
24/01/19, 12, 294.5794, 313.3
24/01/19, 13, 297.319, 313.3
24/01/19, 14, 282.7078, 313.3
24/01/19, 15, 280.8814, 313.3
24/01/19, 16, 299.1454, 313.3
24/01/19, 17, 282.7078, 313.3
24/01/19, 18, 296.8624, 313.3
24/01/19, 19, 285.4474, 313.3
24/01/19, 20, 280.4248, 313.3
24/01/19, 21, 299.602, 313.3
24/01/19, 22, 299.602, 313.3
24/01/19, 23, 300.9718, 313.3
25/01/19, 0, 278.7192, 284.07
25/01/19, 1, 275.8527, 284.07
25/01/19, 2, 278.5281, 284.07
25/01/19, 3, 277.7637, 284.07
25/01/19, 4, 274.515, 284.07
25/01/19, 5, 270.3108, 284.07
25/01/19, 6, 272.2218, 284.07
25/01/19, 7, 276.0438, 284.07
25/01/19, 8, 277.7637, 284.07
25/01/19, 9, 278.337, 284.07
25/01/19, 10, 270.3108, 284.07
25/01/19, 11, 278.1459, 284.07
25/01/19, 12, 273.3684, 284.07
25/01/19, 13, 271.4574, 284.07
25/01/19, 14, 272.9862, 284.07
25/01/19, 15, 272.0307, 284.07
25/01/19, 16, 278.1459, 284.07
25/01/19, 17, 274.3239, 284.07
25/01/19, 18, 279.2925, 284.07
25/01/19, 19, 274.515, 284.07
25/01/19, 20, 278.1459, 284.07
25/01/19, 21, 276.426, 284.07
25/01/19, 22, 276.8082, 284.07
25/01/19, 23, 273.7506, 284.07
26/01/19, 0, 496.8535, 498.83
26/01/19, 1, 496.9125, 498.83
26/01/19, 2, 496.7945, 498.83
26/01/19, 3, 496.7355, 498.83
26/01/19, 4, 497.591, 498.83
26/01/19, 5, 497.709, 498.83
26/01/19, 6, 496.6765, 498.83
26/01/19, 7, 497.06, 498.83
26/01/19, 8, 497.65, 498.83
26/01/19, 9, 497.3255, 498.83
26/01/19, 10, 497.473, 498.83
26/01/19, 11, 497.4435, 498.83
26/01/19, 12, 496.7945, 498.83
26/01/19, 13, 497.0895, 498.83
26/01/19, 14, 497.4435, 498.83
26/01/19, 15, 496.824, 498.83
26/01/19, 16, 496.6175, 498.83
26/01/19, 17, 497.7975, 498.83
26/01/19, 18, 497.2665, 498.83
26/01/19, 19, 496.7355, 498.83
26/01/19, 20, 496.6765, 498.83
26/01/19, 21, 497.532, 498.83
26/01/19, 22, 497.0895, 498.83
26/01/19, 23, 498.004, 498.83
27/01/19, 0, 495.1688, 497.95
27/01/19, 1, 494.1872, 497.95
27/01/19, 2, 495.496, 497.95
27/01/19, 3, 491.9786, 497.95
27/01/19, 4, 492.7966, 497.95
27/01/19, 5, 492.7966, 497.95
27/01/19, 6, 493.451, 497.95
27/01/19, 7, 495.5778, 497.95
27/01/19, 8, 493.1238, 497.95
27/01/19, 9, 493.2056, 497.95
27/01/19, 10, 495.496, 497.95
27/01/19, 11, 495.5778, 497.95
27/01/19, 12, 495.905, 497.95
27/01/19, 13, 492.7148, 497.95
27/01/19, 14, 492.633, 497.95
27/01/19, 15, 492.0604, 497.95
27/01/19, 16, 495.5778, 497.95
27/01/19, 17, 492.1422, 497.95
27/01/19, 18, 493.3692, 497.95
27/01/19, 19, 494.1872, 497.95
27/01/19, 20, 492.0604, 497.95
27/01/19, 21, 495.3324, 497.95
27/01/19, 22, 493.5328, 497.95
27/01/19, 23, 494.4326, 497.95
28/01/19, 0, 510.2752, 528.8
28/01/19, 1, 515.568, 528.8
28/01/19, 2, 510.2752, 528.8
28/01/19, 3, 515.8988, 528.8
28/01/19, 4, 508.2904, 528.8
28/01/19, 5, 507.6288, 528.8
28/01/19, 6, 518.876, 528.8
28/01/19, 7, 507.298, 528.8
28/01/19, 8, 511.5984, 528.8
28/01/19, 9, 517.8836, 528.8
28/01/19, 10, 509.9444, 528.8
28/01/19, 11, 509.9444, 528.8
28/01/19, 12, 505.9748, 528.8
28/01/19, 13, 517.222, 528.8
28/01/19, 14, 510.9368, 528.8
28/01/19, 15, 504.9824, 528.8
28/01/19, 16, 506.3056, 528.8
28/01/19, 17, 518.5452, 528.8
28/01/19, 18, 512.26, 528.8
28/01/19, 19, 517.8836, 528.8
28/01/19, 20, 520.1992, 528.8
28/01/19, 21, 512.26, 528.8
28/01/19, 22, 518.5452, 528.8
28/01/19, 23, 503.99, 528.8
29/01/19, 0, 517.9756, 549.5
29/01/19, 1, 510.2432, 549.5
29/01/19, 2, 521.5444, 549.5
29/01/19, 3, 512.6224, 549.5
29/01/19, 4, 513.2172, 549.5
29/01/19, 5, 504.89, 549.5
29/01/19, 6, 515.5964, 549.5
29/01/19, 7, 507.864, 549.5
29/01/19, 8, 519.1652, 549.5
29/01/19, 9, 522.734, 549.5
29/01/19, 10, 534.0352, 549.5
29/01/19, 11, 528.0872, 549.5
29/01/19, 12, 532.2508, 549.5
29/01/19, 13, 525.708, 549.5
29/01/19, 14, 534.0352, 549.5
29/01/19, 15, 525.1132, 549.5
29/01/19, 16, 513.812, 549.5
29/01/19, 17, 510.2432, 549.5
29/01/19, 18, 509.0536, 549.5
29/01/19, 19, 507.2692, 549.5
29/01/19, 20, 523.9236, 549.5
29/01/19, 21, 534.0352, 549.5
29/01/19, 22, 515.5964, 549.5
29/01/19, 23, 534.0352, 549.5
30/01/19, 0, 523.2416, 546.98
30/01/19, 1, 506.2856, 546.98
30/01/19, 2, 526.6328, 546.98
30/01/19, 3, 524.372, 546.98
30/01/19, 4, 526.0676, 546.98
30/01/19, 5, 526.0676, 546.98
30/01/19, 6, 515.3288, 546.98
