NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX055,BUSLVFLX281,0.24,1,1,1,1,PVprofile,5
PV1FFLX056,BUSLVFLX480,0.24,1,1,1,1,PVprofile,5
PV1FFLX057,BUSLVFLX438,0.24,1,1,1,1,PVprofile,5
PV3FFLX058,BUSLVFLX1288,0.24,3,1,1,1,PVprofile,5
PV1FFLX059,BUSLVFLX552,0.24,1,1,1,1,PVprofile,5
PV1FFLX060,BUSLVFLX915,0.24,1,1,1,1,PVprofile,5
PV1FFLX061,BUSLVFLX410,0.24,1,1,1,1,PVprofile,5
PV1FFLX062,BUSLVFLX991,0.24,1,1,1,1,PVprofile,5
PV3FFLX063,BUSLVFLX1069,0.24,3,1,1,1,PVprofile,5
PV1FFLX064,BUSLVFLX650,0.24,1,1,1,1,PVprofile,5
PV3FFLX065,BUSLVFLX1278,0.24,3,1,1,1,PVprofile,5
PV1FFLX066,BUSLVFLX748,0.24,1,1,1,1,PVprofile,5
PV1FFLX067,BUSLVFLX116,0.24,1,1,1,1,PVprofile,5
PV3FFLX068,BUSLVFLX1144,0.24,3,1,1,1,PVprofile,5
PV1FFLX069,BUSLVFLX469,0.24,1,1,1,1,PVprofile,5
PV1FFLX070,BUSLVFLX767,0.24,1,1,1,1,PVprofile,5
PV1FFLX071,BUSLVFLX1028,0.24,1,1,1,1,PVprofile,5
PV1FFLX072,BUSLVFLX75,0.24,1,1,1,1,PVprofile,5
PV1FFLX073,BUSLVFLX724,0.24,1,1,1,1,PVprofile,5
PV1FFLX074,BUSLVFLX60,0.24,1,1,1,1,PVprofile,5
PV1FFLX075,BUSLVFLX308,0.24,1,1,1,1,PVprofile,5
PV1FFLX076,BUSLVFLX50,0.24,1,1,1,1,PVprofile,5
PV1FFLX077,BUSLVFLX459,0.24,1,1,1,1,PVprofile,5
PV3FFLX078,BUSLVFLX1122,0.24,3,1,1,1,PVprofile,5
PV1FFLX079,BUSLVFLX109,0.24,1,1,1,1,PVprofile,5
PV1FFLX080,BUSLVFLX397,0.24,1,1,1,1,PVprofile,5
PV1FFLX081,BUSLVFLX901,0.24,1,1,1,1,PVprofile,5
PV1FFLX082,BUSLVFLX749,0.24,1,1,1,1,PVprofile,5
PV1FFLX083,BUSLVFLX228,0.24,1,1,1,1,PVprofile,5
PV3FFLX084,BUSLVFLX1229,0.24,3,1,1,1,PVprofile,5
PV1FFLX085,BUSLVFLX318,0.24,1,1,1,1,PVprofile,5
PV1FFLX086,BUSLVFLX82,0.24,1,1,1,1,PVprofile,5
PV1FFLX087,BUSLVFLX100,0.24,1,1,1,1,PVprofile,5
PV1FFLX088,BUSLVFLX207,0.24,1,1,1,1,PVprofile,5
PV1FFLX089,BUSLVFLX944,0.24,1,1,1,1,PVprofile,5
PV1FFLX090,BUSLVFLX980,0.24,1,1,1,1,PVprofile,5
PV1FFLX091,BUSLVFLX134,0.24,1,1,1,1,PVprofile,5
PV3FFLX092,BUSLVFLX1152,0.24,3,1,1,1,PVprofile,5
PV1FFLX093,BUSLVFLX709,0.24,1,1,1,1,PVprofile,5
PV1FFLX094,BUSLVFLX744,0.24,1,1,1,1,PVprofile,5
PV1FFLX095,BUSLVFLX1049,0.24,1,1,1,1,PVprofile,5
PV1FFLX096,BUSLVFLX964,0.24,1,1,1,1,PVprofile,5
PV1FFLX097,BUSLVFLX231,0.24,1,1,1,1,PVprofile,5
PV1FFLX098,BUSLVFLX829,0.24,1,1,1,1,PVprofile,5
PV1FFLX099,BUSLVFLX976,0.24,1,1,1,1,PVprofile,5
PV3FFLX100,BUSLVFLX1100,0.24,3,1,1,1,PVprofile,5
PV1FFLX101,BUSLVFLX212,0.24,1,1,1,1,PVprofile,5
PV1FFLX102,BUSLVFLX743,0.24,1,1,1,1,PVprofile,5
PV1FFLX103,BUSLVFLX969,0.24,1,1,1,1,PVprofile,5
PV3FFLX104,BUSLVFLX1203,0.24,3,1,1,1,PVprofile,5
PV3FFLX105,BUSLVFLX1134,0.24,3,1,1,1,PVprofile,5
PV1FFLX106,BUSLVFLX920,0.24,1,1,1,1,PVprofile,5
PV1FFLX107,BUSLVFLX111,0.24,1,1,1,1,PVprofile,5
PV1FFLX108,BUSLVFLX422,0.24,1,1,1,1,PVprofile,5
PV1FFLX109,BUSLVFLX1129,0.24,1,1,1,1,PVprofile,5
PV3FFLX110,BUSLVFLX1191,0.24,3,1,1,1,PVprofile,5
PV1FFLX111,BUSLVFLX890,0.24,1,1,1,1,PVprofile,5
PV1FFLX112,BUSLVFLX520,0.24,1,1,1,1,PVprofile,5
PV1FFLX113,BUSLVFLX404,0.24,1,1,1,1,PVprofile,5
PV1FFLX114,BUSLVFLX277,0.24,1,1,1,1,PVprofile,5
PV1FFLX115,BUSLVFLX885,0.24,1,1,1,1,PVprofile,5
PV1FFLX116,BUSLVFLX296,0.24,1,1,1,1,PVprofile,5
PV1FFLX117,BUSLVFLX585,0.24,1,1,1,1,PVprofile,5
PV1FFLX118,BUSLVFLX726,0.24,1,1,1,1,PVprofile,5
PV1FFLX119,BUSLVFLX541,0.24,1,1,1,1,PVprofile,5
PV1FFLX120,BUSLVFLX1053,0.24,1,1,1,1,PVprofile,5
PV1FFLX121,BUSLVFLX668,0.24,1,1,1,1,PVprofile,5
PV1FFLX122,BUSLVFLX897,0.24,1,1,1,1,PVprofile,5
PV1FFLX123,BUSLVFLX375,0.24,1,1,1,1,PVprofile,5
PV1FFLX124,BUSLVFLX643,0.24,1,1,1,1,PVprofile,5
PV3FFLX125,BUSLVFLX1225,0.24,3,1,1,1,PVprofile,5
PV1FFLX126,BUSLVFLX615,0.24,1,1,1,1,PVprofile,5
PV1FFLX127,BUSLVFLX428,0.24,1,1,1,1,PVprofile,5
PV3FFLX128,BUSLVFLX1082,0.24,3,1,1,1,PVprofile,5
PV1FFLX129,BUSLVFLX559,0.24,1,1,1,1,PVprofile,5
PV1FFLX130,BUSLVFLX1057,0.24,1,1,1,1,PVprofile,5
PV1FFLX131,BUSLVFLX669,0.24,1,1,1,1,PVprofile,5
PV1FFLX132,BUSLVFLX259,0.24,1,1,1,1,PVprofile,5
PV1FFLX133,BUSLVFLX226,0.24,1,1,1,1,PVprofile,5
PV1FFLX134,BUSLVFLX932,0.24,1,1,1,1,PVprofile,5
PV1FFLX135,BUSLVFLX1334,0.24,1,1,1,1,PVprofile,5
PV1FFLX136,BUSLVFLX303,0.24,1,1,1,1,PVprofile,5
