NAME,A_[R$/KW^2],B_[R$/KW]
1FFLX083,-0.0007626840296768743,0.5619574304249755
3FFLX084,-0.0008264209150718898,0.5504518299785429
1FFLX085,-0.00043592023313426863,0.5829038601245176
1FFLX086,-0.0005879369571879219,0.5770477179632413
1FFLX087,-0.0011829175808892721,0.5968109455453379
1FFLX088,-0.0015074075150042516,0.5536310643951787
1FFLX089,-0.0014199776332633344,0.6044737525832582
1FFLX090,-0.00012027061489592455,0.579041426881617
1FFLX091,-0.0006528974624983467,0.5497756765579181
3FFLX092,-0.000902694210684084,0.6170425966354697
1FFLX093,-0.0013136830183276842,0.5540947627679521
1FFLX094,-0.0012090682579086317,0.559414311527314
1FFLX095,-0.00019568566309493868,0.573431932611935
1FFLX096,-0.0012918746885001592,0.585918697429369
1FFLX097,-0.0014711155272615288,0.5684122561026669
1FFLX098,-0.0007299062751822508,0.5431176920552332
1FFLX099,-0.0015028192342502094,0.6106463500173167
3FFLX100,-0.000152089361884577,0.6158218997458192
1FFLX101,-0.0006080710173890689,0.5890131060256731
1FFLX102,-0.00012698285700112207,0.5516039023656176
1FFLX103,-0.0013160414254688626,0.5472330579005458
3FFLX104,-0.0012418754717870473,0.5902998643956814
3FFLX105,-0.00030265091428169507,0.5745656088309788
1FFLX106,-0.00034709945248971065,0.548429512032165
1FFLX107,-0.0008370187505878183,0.5699732542343726
1FFLX108,-0.00010650174542898303,0.5741345788537346
1FFLX109,-0.001256116150680601,0.6010780362682814
3FFLX110,-0.00016735744675593295,0.5764295218725559
1FFLX111,-0.0005092513621373471,0.6067416364093909
1FFLX112,-0.0004722015181273555,0.6062280264258941
1FFLX113,-0.0003108359662287029,0.5569960824961104
1FFLX114,-0.000464897890062186,0.5624769021905086
1FFLX115,-0.0006907453842515662,0.6111602088545408
1FFLX116,-0.0007851001117771447,0.5955347133440815
1FFLX117,-0.0008482625974988743,0.5967855420571729
1FFLX118,-0.0008952841081289417,0.6046591186144857
1FFLX119,-0.0013572344973837153,0.5483909328868737
1FFLX120,-0.001408439908734861,0.5767053057619659
1FFLX121,-0.0004759242390892475,0.5599203056997527
1FFLX122,-0.0008412093429843475,0.5964244494695686
1FFLX123,-0.00025083983103469125,0.6038693124091458
1FFLX124,-0.0013204974570029298,0.593167727398899
3FFLX125,-0.0011381494800059943,0.5900127245844593
1FFLX126,-0.0012947091183252279,0.5744621292093725
1FFLX127,-0.000526604449108957,0.5795875710486865
3FFLX128,-0.00011748616205821687,0.5582570934800438
1FFLX129,-0.0004087537806821476,0.5661154087814172
1FFLX130,-0.00020066724147521837,0.5818111232191479
1FFLX131,-0.0008703362201678783,0.5948807718430866
1FFLX132,-0.0006357940029152458,0.5446483119509181
1FFLX133,-0.00034615928417739794,0.5766226224179999
1FFLX134,-0.00026362363738304776,0.5545500267369636
1FFLX135,-0.0013210870541620194,0.5798923271153786
1FFLX136,-0.0005857124297514206,0.5800259502814155
